ticker,sector,metric,feature_group,noise_intensity,noise_regime,seed_count,mean_paired_difference,std_paired_difference,paired_difference_ci95_lower,paired_difference_ci95_upper,proportion_seeds_favouring_logistic_regression,proportion_seeds_favouring_random_forest,proportion_ties,robustness_classification
XLP,Consumer Staples,accuracy,volume_and_range,0.5,stress,30,0.0014307228915663504,0.005445688172218239,-0.0005179915937681479,0.003379437376900849,0.3333333333333333,0.6666666666666666,0.0,No clear difference
XLP,Consumer Staples,accuracy,volume_and_range,1.0,stress,30,0.027961847389558307,0.00835653480914077,0.0249714998127632,0.030952194966353413,0.0,1.0,0.0,Random Forest more robust
XLP,Consumer Staples,average_precision,all_predictors,0.05,moderate,30,-0.0005030380532932363,0.004043458423454205,-0.0019499710673485304,0.0009438949607620578,0.5666666666666667,0.43333333333333335,0.0,No clear difference
XLP,Consumer Staples,average_precision,all_predictors,0.1,moderate,30,0.001424543934861559,0.005854229688285153,-0.0006703652544373816,0.0035194531241604992,0.43333333333333335,0.5666666666666667,0.0,No clear difference
XLP,Consumer Staples,average_precision,all_predictors,0.2,moderate,30,0.006773529855634733,0.008000531201439277,0.003910576533747295,0.00963648317752217,0.2,0.8,0.0,Random Forest more robust
XLP,Consumer Staples,average_precision,all_predictors,0.5,stress,30,0.024300873311692953,0.011390524223352417,0.020224826566519388,0.02837692005686652,0.0,1.0,0.0,Random Forest more robust
XLP,Consumer Staples,average_precision,all_predictors,1.0,stress,30,0.039186880302603,0.014879873074426016,0.03386218610729411,0.04451157449791189,0.0,1.0,0.0,Random Forest more robust
XLP,Consumer Staples,average_precision,momentum,0.05,moderate,30,0.0006212907360749566,0.0012405039440892044,0.0001773821007451239,0.0010651993714047893,0.3,0.7,0.0,Random Forest more robust
XLP,Consumer Staples,average_precision,momentum,0.1,moderate,30,0.0008479198942440806,0.0020908526911667972,9.971786777408819e-05,0.001596121920714073,0.36666666666666664,0.6333333333333333,0.0,Random Forest more robust
XLP,Consumer Staples,average_precision,momentum,0.2,moderate,30,0.0003160346584876726,0.003402880661617355,-0.000901670547438068,0.0015337398644134131,0.4666666666666667,0.5333333333333333,0.0,No clear difference
XLP,Consumer Staples,average_precision,momentum,0.5,stress,30,-0.002049231402891876,0.00592304318631643,-0.004168765186210761,7.030238042700886e-05,0.6666666666666666,0.3333333333333333,0.0,No clear difference
XLP,Consumer Staples,average_precision,momentum,1.0,stress,30,0.0034894700107545866,0.010120262302647743,-0.00013201934391791773,0.007110959365427091,0.4,0.6,0.0,No clear difference
XLP,Consumer Staples,average_precision,returns,0.05,moderate,30,0.00043163537940745124,0.0009335421119790673,9.757162497431131e-05,0.0007656991338405912,0.3,0.7,0.0,Random Forest more robust
XLP,Consumer Staples,average_precision,returns,0.1,moderate,30,0.0005731947456257245,0.0012599417863527816,0.00012233036777359275,0.0010240591234778563,0.3333333333333333,0.6666666666666666,0.0,Random Forest more robust
XLP,Consumer Staples,average_precision,returns,0.2,moderate,30,-1.7392469345142767e-05,0.0016923028040969632,-0.000622975250368136,0.0005881903116778503,0.5333333333333333,0.4666666666666667,0.0,No clear difference
XLP,Consumer Staples,average_precision,returns,0.5,stress,30,-0.001065467299158872,0.003973722976174071,-0.002487445803892579,0.00035651120557483504,0.5666666666666667,0.43333333333333335,0.0,No clear difference
XLP,Consumer Staples,average_precision,returns,1.0,stress,30,-0.0009228844867856308,0.005617160077905776,-0.0029329594055261246,0.0010871904319548628,0.5666666666666667,0.43333333333333335,0.0,No clear difference
XLP,Consumer Staples,average_precision,volatility,0.05,moderate,30,0.0002424882788606733,0.0026043754418423265,-0.0006894755039095504,0.001174452061630897,0.4666666666666667,0.5333333333333333,0.0,No clear difference
XLP,Consumer Staples,average_precision,volatility,0.1,moderate,30,0.002343559552676576,0.0035762939013724683,0.00106379921587067,0.0036233198894824823,0.3,0.7,0.0,Random Forest more robust
XLP,Consumer Staples,average_precision,volatility,0.2,moderate,30,0.009555403740371348,0.005685996263208451,0.007520696109075105,0.011590111371667591,0.06666666666666667,0.9333333333333333,0.0,Random Forest more robust
XLP,Consumer Staples,average_precision,volatility,0.5,stress,30,0.02961764408751711,0.012030708933537042,0.025312510185941366,0.03392277798909285,0.0,1.0,0.0,Random Forest more robust
XLP,Consumer Staples,average_precision,volatility,1.0,stress,30,0.0639756922442953,0.0181708029651348,0.05747335391193106,0.07047803057665955,0.0,1.0,0.0,Random Forest more robust
XLP,Consumer Staples,average_precision,volume_and_range,0.05,moderate,30,0.0002313199203063842,0.0014640887681358543,-0.00029259751676561523,0.0007552373573783836,0.43333333333333335,0.5666666666666667,0.0,No clear difference
XLP,Consumer Staples,average_precision,volume_and_range,0.1,moderate,30,0.0006644544610626746,0.001846526479934405,3.6834464167609642e-06,0.0013252254757085882,0.36666666666666664,0.6333333333333333,0.0,Random Forest more robust
XLP,Consumer Staples,average_precision,volume_and_range,0.2,moderate,30,0.0022017289115372402,0.002485342223536328,0.0013123606188893229,0.0030910972041851576,0.16666666666666666,0.8333333333333334,0.0,Random Forest more robust
XLP,Consumer Staples,average_precision,volume_and_range,0.5,stress,30,0.004273609225488638,0.0041882916853779135,0.002774848294273333,0.005772370156703942,0.16666666666666666,0.8333333333333334,0.0,Random Forest more robust
XLP,Consumer Staples,average_precision,volume_and_range,1.0,stress,30,0.010939151889998328,0.0077859967899075525,0.008152968721328145,0.013725335058668511,0.03333333333333333,0.9666666666666667,0.0,Random Forest more robust
XLP,Consumer Staples,balanced_accuracy,all_predictors,0.05,moderate,30,-0.006143926587780718,0.0049401655239808264,-0.007911742116705887,-0.004376111058855548,0.9333333333333333,0.06666666666666667,0.0,Logistic Regression more robust
XLP,Consumer Staples,balanced_accuracy,all_predictors,0.1,moderate,30,-0.0014764549625694533,0.007344025614890359,-0.004104480777454636,0.001151570852315729,0.6333333333333333,0.36666666666666664,0.0,No clear difference
XLP,Consumer Staples,balanced_accuracy,all_predictors,0.2,moderate,30,0.003219673186830814,0.009557017707921608,-0.00020026167815777492,0.006639608051819403,0.3,0.7,0.0,No clear difference
XLP,Consumer Staples,balanced_accuracy,all_predictors,0.5,stress,30,0.02428452601357693,0.013269973737609754,0.01953592689723146,0.029033125129922396,0.06666666666666667,0.9333333333333333,0.0,Random Forest more robust
XLP,Consumer Staples,balanced_accuracy,all_predictors,1.0,stress,30,0.033916337975260946,0.014780232467523137,0.028627299713207606,0.039205376237314286,0.03333333333333333,0.9666666666666667,0.0,Random Forest more robust
XLP,Consumer Staples,balanced_accuracy,momentum,0.05,moderate,30,-0.0017657570635112232,0.002761744769181614,-0.0027540347368376333,-0.0007774793901848133,0.7333333333333333,0.23333333333333334,0.03333333333333333,Logistic Regression more robust
