sector,model,feature_group,noise_intensity,metric,seed_count,clean_performance,mean_noisy_performance,std_noisy_performance,noisy_performance_ci95_lower,noisy_performance_ci95_upper,mean_performance_degradation,std_performance_degradation,degradation_ci95_lower,degradation_ci95_upper
XLE,Logistic Regression,volatility,0.5,average_precision,30,0.466840404729364,0.4356924585711088,0.0103170511417256,0.4320005492347671,0.4393843679074504,0.0311479461582552,0.0103170511417256,0.0274560368219136,0.0348398554945969
XLE,Random Forest,volatility,0.5,balanced_accuracy,30,0.6200582984150118,0.6243298718649422,0.0112609924328773,0.6203001774756927,0.6283595662541916,-0.0042715734499302,0.0112609924328773,-0.0083012678391797,-0.0002418790606807
XLE,Random Forest,volatility,0.5,f1_score,30,0.4322766570605187,0.4393404831729527,0.0160479054297752,0.4335978139672823,0.4450831523786231,-0.007063826112434,0.0160479054297752,-0.0128064953181044,-0.0013211569067636
XLE,Random Forest,volatility,0.5,roc_auc,30,0.7141100382583349,0.6937677374951924,0.0114454711031933,0.6896720282615906,0.6978634467287942,0.0203423007631424,0.0114454711031933,0.0162465915295406,0.0244380099967442
XLE,Random Forest,volatility,0.5,average_precision,30,0.4534410905413171,0.4443336316676602,0.0111268661459217,0.4403519337537851,0.4483153295815353,0.0091074588736568,0.0111268661459217,0.0051257609597817,0.0130891567875319
XLE,Logistic Regression,volatility,1.0,balanced_accuracy,30,0.6536102508046395,0.6075519726321331,0.0189573586565813,0.6007681689604085,0.6143357763038577,0.0460582781725065,0.0189573586565813,0.0392744745007819,0.0528420818442311
XLE,Logistic Regression,volatility,1.0,f1_score,30,0.482233502538071,0.4330480060321518,0.0210866209966261,0.4255022556176279,0.4405937564466757,0.0491854965059192,0.0210866209966261,0.0416397460913953,0.0567312469204432
XLE,Logistic Regression,volatility,1.0,roc_auc,30,0.7425669520859902,0.6509711341875671,0.0163536779941195,0.6451190456750044,0.6568232227001298,0.0915958178984231,0.0163536779941195,0.0857437293858604,0.0974479064109858
XLE,Logistic Regression,volatility,1.0,average_precision,30,0.466840404729364,0.3895089706331067,0.0148931901573529,0.3841795109808746,0.3948384302853389,0.0773314340962573,0.0148931901573529,0.0720019744440251,0.0826608937484894
XLE,Random Forest,volatility,1.0,balanced_accuracy,30,0.6200582984150118,0.6106202303597092,0.0138833292465354,0.6056521447933314,0.6155883159260871,0.0094380680553025,0.0138833292465354,0.0044699824889247,0.0144061536216803
XLE,Random Forest,volatility,1.0,f1_score,30,0.4322766570605187,0.4235188418874244,0.0189434254627221,0.4167400241450886,0.4302976596297601,0.0087578151730943,0.0189434254627221,0.0019789974307585,0.0155366329154301
XLE,Random Forest,volatility,1.0,roc_auc,30,0.7141100382583349,0.6562704196271328,0.0166449430709375,0.6503141032454162,0.6622267360088495,0.0578396186312017,0.0166449430709375,0.0518833022494851,0.0637959350129184
